City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
New Norfolk,-42.78,147.06,60.01,61,41,5.01,AU,1599279523
Impfondo,1.64,18.07,70.43,94,76,2.98,CG,1599279524
Coquimbo,-29.95,-71.34,53.6,81,36,1.12,CL,1599279260
Kavaratti,10.57,72.64,84.2,79,20,4.7,IN,1599279150
Vaini,-21.2,-175.2,73.4,64,20,10.29,TO,1599279525
Nome,64.5,-165.41,44.6,75,75,12.75,US,1599279525
Flinders,-34.58,150.86,66.0,53,2,1.99,AU,1599278905
Castro,-24.79,-50.01,60.26,97,25,6.64,BR,1599279526
San Quintín,30.48,-115.95,73.63,74,2,8.66,MX,1599278954
Bengkulu,-3.8,102.27,84.22,68,92,5.12,ID,1599279452
Arraial do Cabo,-22.97,-42.03,73.4,88,20,14.99,BR,1599279116
Monywa,22.12,95.13,90.9,63,99,10.54,MM,1599279527
Okha,53.57,142.95,65.08,91,100,8.9,RU,1599279377
Panzhihua,26.59,101.71,73.0,73,96,0.45,CN,1599279527
Vila,42.03,-8.16,57.99,78,0,4.0,PT,1599279300
Manali,13.17,80.27,86.0,74,75,3.36,IN,1599279528
Palauig,15.44,119.9,85.5,75,32,9.66,PH,1599279528
Mar del Plata,-38.0,-57.56,46.99,86,45,7.05,AR,1599279529
Millville,39.4,-75.04,71.01,94,20,3.36,US,1599279529
Paamiut,61.99,-49.67,46.94,83,99,21.41,GL,1599279221
Ardakān,32.31,54.02,69.8,16,0,3.31,IR,1599279530
Kiryat Gat,31.61,34.76,82.99,82,0,3.78,IL,1599279453
Tasiilaq,65.61,-37.64,32.88,89,51,5.68,GL,1599279499
Kidal,18.44,1.41,87.39,44,52,3.69,ML,1599279500
Shingū,33.73,135.98,86.0,70,40,5.82,JP,1599279531
Ozernovskiy,51.5,156.52,52.81,74,100,2.51,RU,1599279531
La Santisima Trinidad,-14.83,-64.9,78.33,44,71,3.67,BO,1599279445
Vaitape,-16.52,-151.75,78.22,75,56,12.93,PF,1599279255
Cidreira,-30.18,-50.21,55.96,85,0,10.02,BR,1599279532
Laguna,38.42,-121.42,82.0,32,1,4.7,US,1599279206
Yulara,-25.24,130.99,80.6,14,0,18.34,AU,1599279336
San Juan,-31.54,-68.54,53.24,42,0,5.75,AR,1599279407
Zyryanovsk,49.74,84.27,52.72,59,2,2.13,KZ,1599279533
Takoradze,4.88,-1.76,75.34,86,93,9.48,GH,1599279142
Mānpur,22.43,75.62,78.8,88,23,2.71,IN,1599279534
Lebu,-37.62,-73.65,45.91,79,100,4.7,CL,1599279428
Broken Hill,-31.95,141.43,68.0,30,40,11.41,AU,1599279114
Viradouro,-20.87,-48.3,73.4,35,0,4.7,BR,1599279535
George Town,5.41,100.34,86.0,66,20,9.17,MY,1599279436
Manatí,18.43,-66.49,79.0,94,98,1.01,PR,1599279536
Mahanoro,-19.9,48.8,64.47,88,89,9.33,MG,1599279537
Hermanus,-34.42,19.23,52.0,86,62,5.01,ZA,1599279537
São Filipe,14.9,-24.5,79.41,84,81,16.17,CV,1599279245
Carnarvon,-24.87,113.63,71.6,73,0,18.34,AU,1599279517
Yaan,7.38,8.57,71.71,98,100,6.78,NG,1599279538
Lar,26.2,83.97,90.95,60,39,6.22,IN,1599279538
Glenwood Springs,39.55,-107.32,71.6,19,1,1.86,US,1599279527
Pindi Bhattian,31.9,73.27,86.99,50,6,2.66,PK,1599279539
Maraã,-1.83,-65.37,76.6,80,37,2.46,BR,1599279539
Soe,-9.86,124.28,85.77,33,4,11.5,ID,1599279200
Talnakh,69.49,88.4,44.6,70,0,13.42,RU,1599279216
Iqaluit,63.75,-68.51,41.0,65,20,2.24,CA,1599278992
Codrington,-38.27,141.97,55.85,71,47,6.64,AU,1599279397
Mahébourg,-20.41,57.7,69.8,77,75,17.22,MU,1599279438
Tiksi,71.69,128.87,52.74,70,86,3.31,RU,1599279397
Yumen,40.28,97.2,77.41,25,97,16.28,CN,1599278953
Peleduy,59.63,112.74,74.71,40,84,4.68,RU,1599279541
Adrar,20.5,-10.07,90.52,37,56,17.4,MR,1599279111
Glomfjord,66.82,13.97,51.8,93,75,13.87,NO,1599279542
Mt. Pleasant,32.79,-79.86,87.01,89,1,5.77,US,1599279542
San Patricio,19.22,-104.7,81.0,92,85,5.32,MX,1599279420
Hong Kong,22.29,114.16,82.4,74,40,10.29,HK,1599279070
Yate,51.54,-2.42,52.0,90,0,1.99,GB,1599279544
Saint Paul Harbor,57.79,-152.41,53.6,71,1,6.93,US,1599278944
Minzhu,43.73,127.34,73.94,63,0,12.12,CN,1599279544
Comodoro Rivadavia,-45.87,-67.5,39.2,86,48,3.29,AR,1599279502
Maryville,35.76,-83.97,72.0,73,20,6.93,US,1599279417
Jegunovce,42.07,21.12,51.8,81,0,1.12,MK,1599279545
Leningradskiy,69.38,178.42,37.81,78,98,4.09,RU,1599279276
Weligama,5.97,80.42,84.61,71,15,8.61,LK,1599279546
San Ignacio,17.16,-89.07,75.99,85,88,2.37,BZ,1599279546
Bolbec,49.57,0.47,59.0,77,75,11.41,FR,1599279547
Buraidah,26.33,43.98,78.8,31,0,1.32,SA,1599279547
Formosa do Rio Preto,-11.05,-45.19,67.48,46,10,3.06,BR,1599279548
Severo-Kuril'sk,50.68,156.12,54.45,74,76,2.06,RU,1599279548
Kuopio,62.89,27.68,57.2,93,90,13.87,FI,1599279549
Curup,-3.47,102.53,77.09,82,100,2.8,ID,1599279549
Fortuna,40.6,-124.16,59.0,77,1,6.93,US,1599279143
Alim,9.56,122.49,86.54,69,74,8.41,PH,1599279550
Qaanaaq,77.48,-69.36,23.58,81,0,8.66,GL,1599279309
Linhares,-19.39,-40.07,67.42,95,8,2.98,BR,1599279550
Kichera,55.94,110.1,69.87,49,100,2.01,RU,1599279244
Angoche,-16.23,39.91,71.85,67,85,14.67,MZ,1599279537
Khatanga,71.97,102.5,44.8,64,92,7.83,RU,1599279551
Pringsewu,-5.36,104.97,86.5,63,22,6.26,ID,1599279551
Port-Gentil,-0.72,8.78,75.09,84,99,13.38,GA,1599279552
Rancho Palos Verdes,33.74,-118.39,73.0,71,0,8.16,US,1599279552
Severnyy,50.68,36.55,62.6,39,100,8.95,RU,1599279552
Loíza,18.43,-65.88,80.6,83,20,5.82,PR,1599279553
San Jerónimo,-11.95,-75.28,51.48,62,37,0.78,PE,1599279553
Buin,-33.73,-70.75,50.0,87,20,6.93,CL,1599278961
Sinjār,36.32,41.88,83.3,15,0,5.08,IQ,1599279554
Sydney Mines,46.24,-60.22,68.0,88,90,6.93,CA,1599279554
Boa Vista,2.82,-60.67,82.4,69,62,3.36,BR,1599279554
East London,-33.02,27.91,59.0,58,3,11.41,ZA,1599279555
Geraldton,-28.77,114.6,69.8,60,0,11.41,AU,1599279265
Cao Bang,22.67,106.25,88.79,63,62,6.26,VN,1599279555
Henties Bay,-22.12,14.28,53.01,89,1,7.05,NA,1599279556
Cochrane,51.18,-114.47,66.0,62,1,3.36,CA,1599279444
Kahului,20.89,-156.47,87.8,48,40,17.22,US,1599279556
Clyde River,70.47,-68.59,33.8,83,90,10.29,CA,1599279195
Eureka,40.8,-124.16,61.0,82,1,4.7,US,1599279557
Qian’an,44.99,124.06,70.21,71,98,13.73,CN,1599279557
Avera,33.19,-82.53,77.0,69,1,6.13,US,1599279558
Kinsale,51.71,-8.53,50.0,87,20,10.29,IE,1599279558
Rongcheng,30.63,117.85,82.0,84,0,3.65,CN,1599279558
Aklavik,68.22,-135.01,46.4,61,75,8.05,CA,1599279125
Valmiera,57.54,25.43,55.99,95,96,3.0,LV,1599279559
Porto-Novo,6.5,2.6,78.8,83,20,16.11,BJ,1599279241
Shostka,51.86,33.47,61.45,91,100,6.6,UA,1599279559
Armidale,-30.52,151.65,54.75,88,100,7.58,AU,1599279560
Tucumcari,35.17,-103.72,80.6,39,1,10.29,US,1599279560
Nurota,40.56,65.69,75.2,31,0,13.87,UZ,1599279560
Chunskiy,56.08,99.63,54.3,92,100,14.36,RU,1599279403
Chui,-33.7,-53.46,48.22,87,97,5.26,UY,1599278982
Erdenet,49.03,104.08,60.89,72,100,4.18,MN,1599279561
Saint George,37.1,-113.58,89.6,11,1,3.36,US,1599279562
Tocopilla,-22.09,-70.2,59.5,62,21,6.08,CL,1599279562
Thompson,55.74,-97.86,41.0,86,20,4.7,CA,1599279237
Kutum,14.2,24.67,74.75,68,98,2.75,SD,1599279439
Tezu,27.92,96.17,89.01,56,81,2.55,IN,1599279563
Chipinge,-20.19,32.62,50.68,98,43,4.65,ZW,1599279302
Bakel,14.9,-12.46,75.31,95,100,7.38,SN,1599279473
Umba,66.69,34.34,54.41,94,23,9.51,RU,1599279564
Līgatne,57.23,25.04,55.99,95,99,3.0,LV,1599279564
Baijiantan,45.63,85.18,77.72,27,35,9.04,CN,1599279564
Umluj,25.02,37.27,91.76,40,25,7.27,SA,1599279147
Pacific Grove,36.62,-121.92,66.2,63,1,5.44,US,1599279538
Ocho Rios,18.4,-77.1,81.0,76,6,1.01,JM,1599279565
Isangel,-19.55,169.27,75.2,64,75,9.17,VU,1599279138
Nizhniy Odes,63.64,54.86,51.69,74,26,4.27,RU,1599279566
Tsuruoka,38.72,139.82,84.2,79,40,9.17,JP,1599279566
Deniliquin,-35.53,144.97,62.71,45,0,7.36,AU,1599279567
Esperance,-33.87,121.9,71.6,56,0,11.41,AU,1599279567
Solnechnyy,50.72,136.63,75.27,48,0,11.74,RU,1599279568
Padang,-0.95,100.35,79.41,80,100,2.48,ID,1599279124
São Miguel do Araguaia,-13.28,-50.16,74.08,38,0,4.61,BR,1599279568
Lagoa,39.05,-27.98,68.67,73,18,20.36,PT,1599279568
Deputatsky,69.3,139.9,43.48,84,100,5.03,RU,1599279569
Rio Grande,-32.03,-52.1,52.0,91,99,7.34,BR,1599279056
Bauchi,10.5,10.0,70.41,90,100,3.11,NG,1599279569
Ixtapa,20.7,-105.2,86.0,79,75,5.82,MX,1599279495
Ranong,9.97,98.63,87.8,70,40,5.82,TH,1599279570
Toktogul,41.87,72.94,55.99,89,0,0.87,KG,1599279570
Santo Antônio do Içá,-3.1,-67.94,74.25,93,7,1.59,BR,1599279571
Lodja,-3.48,23.43,70.0,74,71,1.1,CD,1599279233
Waingapu,-9.66,120.26,88.34,45,1,14.0,ID,1599279571
Makkah al Mukarramah,21.43,39.83,90.55,25,2,0.63,SA,1599279572
Pangnirtung,66.15,-65.71,40.77,69,0,1.03,CA,1599279433
Vestmanna,62.16,-7.17,46.4,93,100,27.51,FO,1599279443
Katsuura,35.13,140.3,91.0,70,75,5.82,JP,1599279514
Cabras,39.93,8.53,67.08,75,0,4.18,IT,1599279573
Lompoc,34.64,-120.46,60.8,82,1,8.05,US,1599278972
Hammerfest,70.66,23.68,55.4,87,100,6.93,NO,1599279573
Te Anau,-45.42,167.72,53.19,59,96,6.49,NZ,1599279261
College,64.86,-147.8,50.0,76,75,3.36,US,1599279222
Boyuibe,-20.42,-63.28,66.42,53,0,4.94,BO,1599279574
Nikolskoye,59.7,30.79,55.99,93,20,4.47,RU,1599279575
Jefferson City,38.58,-92.17,64.4,82,1,3.36,US,1599279391
Mogadishu,2.04,45.34,77.43,75,38,17.65,SO,1599278903
Oistins,13.07,-59.53,82.4,83,40,8.05,BB,1599279502
Suez,29.97,32.53,77.43,84,0,12.73,EG,1599279576
Carballo,43.21,-8.69,64.99,88,20,6.93,ES,1599279576
Nelson Bay,-32.72,152.15,73.4,31,10,11.41,AU,1599279370
Koslan,63.46,48.9,52.23,88,86,6.89,RU,1599279282
Samarai,-10.62,150.67,78.66,86,74,13.27,PG,1599279577
Airai,-8.93,125.41,78.69,42,0,6.17,TL,1599279369
Humaitá,-7.51,-63.02,80.71,54,46,2.28,BR,1599279578
Sabha,27.04,14.43,77.94,42,0,12.1,LY,1599279257
Mīnāb,27.15,57.08,87.8,38,0,6.93,IR,1599279579
Nabire,-3.37,135.48,89.4,52,82,3.04,ID,1599279291
Manthani,18.65,79.67,84.83,77,40,5.7,IN,1599279579
Bermejo,-32.88,-68.8,51.8,40,0,8.05,AR,1599279579
Omsukchan,62.53,155.8,55.11,42,57,8.1,RU,1599279135
Nieuw Amsterdam,5.88,-55.08,80.01,90,15,3.0,SR,1599279580
San Francisco,37.77,-122.42,66.0,67,1,17.22,US,1599279341
Qaqortoq,60.72,-46.03,46.4,81,75,1.12,GL,1599279341
Avarua,-21.21,-159.78,78.8,83,2,8.05,CK,1599279327
Santa Rosa de Aguán,15.95,-85.72,82.18,78,93,12.57,HN,1599279581
Okhotsk,59.38,143.3,51.39,88,100,13.04,RU,1599279582
Talaya,61.38,152.75,60.89,48,47,12.5,RU,1599279582
Samandağ,36.08,35.98,69.8,83,0,2.17,TR,1599279583
Upernavik,72.79,-56.15,33.06,83,0,9.08,GL,1599279583
Kabanjahe,3.1,98.49,75.83,68,90,2.44,ID,1599279490
Labuhan,-6.88,112.21,87.03,57,14,3.83,ID,1599279584
Varkaus,62.32,27.87,59.0,87,75,10.29,FI,1599279584
Bacungan,9.91,118.7,88.95,62,79,3.4,PH,1599279584
Srednekolymsk,67.45,153.68,55.35,40,0,8.95,RU,1599279291
Manta,-0.95,-80.73,71.6,88,75,8.05,EC,1599279138
Alugan,12.22,125.48,86.85,66,64,6.78,PH,1599279586
Akdepe,42.06,59.38,64.4,45,49,6.93,TM,1599279586
Ilulissat,69.22,-51.1,39.2,80,94,4.7,GL,1599279586
Ararat,39.83,44.7,71.6,40,0,5.82,AM,1599279587
Wagar,16.15,36.2,82.51,66,0,13.58,SD,1599279220
Payo,-3.75,103.64,91.62,39,85,4.47,ID,1599279588
Borba,-4.39,-59.59,77.67,63,14,2.55,BR,1599279588
Karratha,-20.74,116.85,86.43,20,71,11.74,AU,1599279402
Changji,44.02,87.32,80.01,41,0,8.95,CN,1599279304
Ancud,-41.87,-73.82,39.0,93,100,4.81,CL,1599279589
Great Falls,47.5,-111.3,75.2,25,1,11.41,US,1599279589
Botwood,49.15,-55.35,66.0,91,79,1.01,CA,1599279589
Inírida,3.87,-67.92,75.69,86,100,3.06,CO,1599279328
Lorengau,-2.02,147.27,85.05,73,31,7.7,PG,1599279590
Richards Bay,-28.78,32.04,64.49,73,0,12.93,ZA,1599279321
Dawlatabad,36.41,64.91,83.16,15,0,4.72,AF,1599279591
Coolum Beach,-26.53,153.1,73.99,69,62,5.01,AU,1599279591
Takayama,36.13,137.25,89.6,70,20,11.41,JP,1599279591
Sakakah,29.97,40.21,80.6,12,0,5.82,SA,1599279376
Killybegs,54.63,-8.45,48.99,91,96,3.0,IE,1599279592
‘Āhuimanu,21.44,-157.84,86.0,61,75,8.05,US,1599279569
Calvinia,-31.47,19.78,47.28,67,72,4.43,ZA,1599279593
Fort Nelson,58.81,-122.7,53.6,81,75,3.36,CA,1599279594
Selizharovo,56.85,33.45,54.32,95,89,3.15,RU,1599279594
Ulladulla,-35.35,150.47,69.8,28,40,10.29,AU,1599279506
Chumikan,54.72,135.31,52.66,94,100,12.66,RU,1599279430
Cururupu,-1.83,-44.87,74.64,94,3,4.23,BR,1599279295
Sobolevo,54.43,31.9,52.75,88,19,2.1,RU,1599279411
Camrose,53.02,-112.84,60.01,73,75,1.01,CA,1599279305
Pisco,-13.7,-76.22,57.2,82,0,2.3,PE,1599279246
Young,-32.68,-57.63,48.99,90,63,1.01,UY,1599279596
Estevan,49.13,-102.98,57.0,66,1,6.93,CA,1599279597
Saint-Joseph,-21.37,55.62,66.2,88,75,8.05,RE,1599279494
Beringovskiy,63.05,179.32,45.68,71,99,14.18,RU,1599279597
Kirakira,-10.45,161.92,82.09,77,100,14.07,SB,1599279266
Pīlibhīt,28.63,79.8,84.2,83,24,2.24,IN,1599279598
Nanortalik,60.14,-45.24,46.29,83,96,15.26,GL,1599279598
Nizhniy Tsasuchey,50.52,115.13,58.3,81,100,10.78,RU,1599279356
Barra do Corda,-5.5,-45.25,73.96,58,36,1.7,BR,1599279599
Oneonta,42.45,-75.06,55.0,84,0,2.77,US,1599279272
Verbivka,49.42,35.53,67.1,31,100,16.51,UA,1599279600
Mayo,38.89,-76.51,78.8,61,1,10.31,US,1599279222
Guarapari,-20.67,-40.5,73.4,73,0,5.82,BR,1599279600
Marabu,4.41,114.01,84.2,79,40,9.17,MY,1599279600
Maní,4.82,-72.29,74.91,87,99,2.68,CO,1599279601
Saldanha,-33.01,17.94,55.4,87,81,2.24,ZA,1599279601
Karpathos,35.51,27.21,77.0,65,0,29.97,GR,1599279602
Alofi,-19.06,-169.92,77.0,53,75,12.75,NU,1599279316
Lugovoy,42.95,72.76,72.86,22,5,3.29,KZ,1599279602
Trairi,-3.28,-39.27,77.59,80,15,12.28,BR,1599279603
Zheleznodorozhnyy,55.75,38.0,57.0,81,100,6.71,RU,1599279454
Chincha Alta,-13.41,-76.13,57.2,82,0,1.77,PE,1599279603
Turaif,31.67,38.66,78.8,21,0,13.87,SA,1599279233
Cayenne,4.93,-52.33,77.0,94,0,9.33,GF,1599279604
Sinnamary,5.38,-52.95,78.6,84,2,9.53,GF,1599279604
Kondinskoye,59.65,67.41,47.1,72,55,12.03,RU,1599279605
Saint-Augustin,51.23,-58.65,56.43,74,80,11.25,CA,1599279289
Tazovsky,67.47,78.7,45.41,70,0,18.16,RU,1599279605
Talara,-4.58,-81.27,63.32,79,13,15.26,PE,1599279532
Faanui,-16.48,-151.75,77.36,77,52,13.04,PF,1599279105
Dhārchula,29.85,80.53,77.32,62,13,4.27,IN,1599279606
Bilma,18.69,12.92,89.11,36,0,8.16,NE,1599279416
Yerbogachën,61.28,108.01,66.09,79,61,6.73,RU,1599279607
Tías,28.96,-13.64,71.6,78,5,6.93,ES,1599279607
Camacha,33.08,-16.33,73.4,69,40,5.82,PT,1599279608
Lipari,38.47,14.95,71.6,83,20,2.24,IT,1599279608
Athabasca,54.72,-113.29,54.55,75,95,1.7,CA,1599279608
Burnie,-41.07,145.92,57.99,46,66,8.99,AU,1599279609
Salalah,17.02,54.09,78.8,83,75,2.24,OM,1599279340
Altamira,-3.2,-52.21,74.93,52,21,2.51,BR,1599279222
Srandakan,-7.94,110.25,84.47,56,11,12.75,ID,1599279610
Bubaque,11.28,-15.83,79.57,80,99,13.09,GW,1599279610
Tilichiki,60.47,166.1,50.18,52,0,10.71,RU,1599279181
Pochutla,15.74,-96.47,77.0,93,99,2.73,MX,1599279264
Tak,16.58,98.83,84.2,83,90,1.72,TH,1599279611
Hualmay,-11.1,-77.61,59.0,84,8,5.08,PE,1599279571
Provideniya,64.38,-173.3,44.53,60,55,2.33,RU,1599279612
Yangi Marg`ilon,40.43,71.72,77.0,29,0,2.24,UZ,1599279230
Asău,46.43,26.4,48.99,97,0,5.19,RO,1599279613
Cockburn Town,21.46,-71.14,83.16,79,97,19.22,TC,1599279613
Racine,42.75,-88.08,57.0,93,1,3.71,US,1599279613
Muli,2.92,73.57,82.65,77,81,17.52,MV,1599279614
Tawang Town,27.58,91.87,67.78,58,97,4.92,IN,1599279256
Vágur,61.47,-6.81,49.59,82,91,30.89,FO,1599279566
Alice Springs,-23.7,133.88,80.6,13,8,17.22,AU,1599279615
Nālūt,30.33,10.85,74.75,65,20,13.29,LY,1599279134
Arman',59.7,150.17,55.54,73,100,6.58,RU,1599279278
Taltal,-25.4,-70.48,54.82,74,27,3.76,CL,1599279617
Oranjemund,-28.55,16.43,55.09,81,67,4.43,NA,1599279547
Batagay-Alyta,67.8,130.41,56.3,54,75,2.3,RU,1599279617
Shetpe,44.17,52.12,67.64,40,0,11.01,KZ,1599279618
Manadhoo,5.77,73.38,82.47,79,78,18.41,MV,1599279556
Roebourne,-20.78,117.13,85.62,23,75,12.59,AU,1599279618
Sur,22.57,59.53,85.59,44,0,6.53,OM,1599279467
Hirara,24.8,125.28,86.0,79,75,14.99,JP,1599279276
Lethem,3.38,-59.8,77.38,79,40,6.46,GY,1599279150
Bullhead City,35.15,-114.57,99.0,12,0,5.28,US,1599279619
Ghātanji,20.13,78.32,85.14,72,73,3.06,IN,1599279619
Constitución,-35.33,-72.42,47.66,86,36,5.28,CL,1599279461
Bunia,1.57,30.25,61.92,90,41,1.3,CD,1599279620
Assiut,27.18,31.18,73.4,49,50,6.93,EG,1599279290
Hasaki,35.73,140.83,91.0,83,75,10.29,JP,1599279174
Nishihara,26.18,127.76,84.2,79,75,21.92,JP,1599279621
Tobermory,45.25,-81.67,45.0,92,0,16.06,CA,1599279622
Guerrero Negro,27.98,-114.06,74.34,74,0,14.0,MX,1599279305
Banepā,27.63,85.52,78.8,74,75,2.24,NP,1599279493
Mehrān,33.12,46.16,71.6,24,0,6.93,IR,1599279622
Inuvik,68.35,-133.72,42.8,70,75,8.05,CA,1599279333
Teya,60.38,92.63,51.85,84,100,8.39,RU,1599279623
General Cepeda,25.38,-101.45,70.54,62,45,7.65,MX,1599279623
Safi,32.3,-9.24,69.62,87,0,3.96,MA,1599279624
Esil,51.96,66.4,51.55,59,83,8.97,KZ,1599279624
Penzance,50.12,-5.54,54.0,93,6,10.29,GB,1599279624
Khovd,48.01,91.64,66.58,26,0,5.08,MN,1599279625
Kokemäki,61.26,22.36,57.2,93,20,8.05,FI,1599279625
Shimsk,58.21,30.71,52.61,86,41,6.89,RU,1599279625
Toro,4.61,-76.08,67.98,87,52,1.23,CO,1599279626
Egvekinot,66.32,-179.17,41.32,67,52,1.25,RU,1599279626
Kyabé,9.45,18.94,71.67,92,100,3.4,TD,1599279557
Santa Rosa,14.31,121.11,91.0,74,64,12.75,PH,1599279426
Sarkand,45.41,79.92,62.96,42,16,5.73,KZ,1599279579
Whitehorse,60.72,-135.05,48.2,70,75,8.05,CA,1599279627
